"","StoreProduct","meanDemand"
"1","10571 102307200002148",0.230769230769231
"2","10571 102307200026812",0.769230769230769
"3","10571 102307200031898",0.769230769230769
"4","10571 102307200051672",1.76923076923077
"5","10571 102307200063606",1.23076923076923
"6","10571 102307200065038",0.153846153846154
"7","10571 102307200071952",0.538461538461538
"8","10571 102307200072006",0.230769230769231
"9","10571 102307200072010",0.846153846153846
"10","10571 102307200072028",0.230769230769231
"11","10571 102307200074292",0
"12","10571 102307200077072",0.384615384615385
"13","10571 102307200078432",0
"14","10571 102307200078722",0.923076923076923
"15","10571 102307200081308",0.538461538461538
"16","11015 102307200002148",0.538461538461538
"17","11015 102307200020716",0.461538461538462
"18","11015 102307200025078",0.384615384615385
"19","11015 102307200031898",0.384615384615385
"20","11015 102307200031902",0
"21","11015 102307200063734",2.15384615384615
"22","11015 102307200067188",0.769230769230769
"23","11015 102307200067986",0.0769230769230769
"24","11015 102307200068660",1.61538461538462
"25","11015 102307200068664",0.0769230769230769
"26","11015 102307200071940",0.230769230769231
"27","11015 102307200074612",0.230769230769231
"28","11015 102307200074746",17
"29","11015 102307200080838",0.153846153846154
"30","11015 102307200081034",0.307692307692308
"31","11015 102307200082700",0
"32","11015 102421077713040",0
"33","11090 102307200002920",1.23076923076923
"34","11090 102307200030136",0.846153846153846
"35","11090 102307200057650",0.692307692307692
"36","11090 102307200066162",0.461538461538462
"37","11090 102307200067986",0.461538461538462
"38","11090 102307200071282",0
"39","11090 102307200074780",6.76923076923077
"40","11090 102307200134660",0.153846153846154
"41","11090 102310800150286",0.153846153846154
"42","11132 102307200026782",0.307692307692308
"43","11132 102307200037952",0.538461538461538
"44","11132 102307200051728",1.46153846153846
"45","11132 102307200057480",0.307692307692308
"46","11132 102307200063606",1.46153846153846
"47","11132 102307200066162",0.0769230769230769
"48","11132 102307200071940",0.153846153846154
"49","11132 102307200071952",0.384615384615385
"50","11132 102307200074766",1.07692307692308
"51","11132 102307200074806",2.07692307692308
"52","11132 102307200078426",0
"53","11132 102307200079630",0
"54","11167 102307200023060",0.153846153846154
"55","11167 102307200023952",1.53846153846154
"56","11167 102307200025712",0.769230769230769
"57","11167 102307200026666",0.230769230769231
"58","11167 102307200030648",0.615384615384615
"59","11167 102307200032566",0
"60","11167 102307200051658",1.15384615384615
"61","11167 102307200061424",0.0769230769230769
"62","11167 102307200063688",0
"63","11167 102307200068660",1.38461538461538
"64","11167 102307200071282",0
"65","11167 102307200071940",0.692307692307692
"66","11167 102307200077066",0.538461538461538
"67","11167 102307200079622",0
"68","11167 102307200080838",1.23076923076923
"69","11167 102307200081312",0
"70","11167 102307200081380",0.230769230769231
"71","11167 102307200081598",0
"72","11167 102307200082534",0.307692307692308
"73","11167 102421077713040",0
"74","11218 102307200002190",0.384615384615385
"75","11218 102307200026812",1.23076923076923
"76","11218 102307200026814",0.384615384615385
"77","11218 102307200038604",1.46153846153846
"78","11218 102307200063734",4.15384615384615
"79","11218 102307200064440",0.307692307692308
"80","11218 102307200065458",0
"81","11218 102307200067186",0.692307692307692
"82","11218 102307200067988",0
"83","11218 102307200068666",2.30769230769231
"84","11218 102307200071282",0.769230769230769
"85","11218 102307200072010",0.769230769230769
"86","11218 102307200072028",0.153846153846154
"87","11218 102307200074052",0
"88","11218 102307200074612",0.0769230769230769
"89","11218 102307200079622",0
"90","11218 102307200079832",0.923076923076923
"91","11218 102307200082700",0
"92","11407 102307200024706",0
"93","11407 102307200026782",0.0769230769230769
"94","11407 102307200030146",0.846153846153846
"95","11407 102307200030160",1.38461538461538
"96","11407 102307200030166",1.15384615384615
"97","11407 102307200032566",0
"98","11407 102307200058906",0.461538461538462
"99","11407 102307200068666",1.76923076923077
"100","11407 102307200073484",0.307692307692308
"101","11407 102307200073852",0.846153846153846
"102","11443 102307200007800",0.538461538461538
"103","11443 102307200022394",0.153846153846154
"104","11443 102307200028472",0.615384615384615
"105","11443 102307200032368",0.0769230769230769
"106","11443 102307200074780",1.07692307692308
"107","11443 102307200074784",0.769230769230769
"108","11443 102307200144888",0.153846153846154
"109","11443 102310800072818",0.307692307692308
"110","11575 102307200007600",1.53846153846154
"111","11575 102307200022610",0.0769230769230769
"112","11575 102307200032368",1.15384615384615
"113","11575 102307200051590",0.0769230769230769
"114","11575 102307200051766",1.38461538461538
"115","11575 102307200057482",1.07692307692308
"116","11575 102307200057650",0.230769230769231
"117","11575 102307200058918",0
"118","11575 102307200060728",0.615384615384615
"119","11575 102307200061428",0.0769230769230769
"120","11575 102307200064388",0.615384615384615
"121","11575 102307200065462",0
"122","11575 102307200065466",0
"123","11575 102307200066162",0.153846153846154
"124","11575 102307200067182",2.15384615384615
"125","11575 102307200073484",0.153846153846154
"126","11575 102307200076814",1.61538461538462
"127","11609 102307200022394",0.538461538461538
"128","11609 102307200039256",0.307692307692308
"129","11609 102307200057482",0
"130","11609 102307200063624",0.846153846153846
"131","11609 102307200063686",0
"132","11609 102307200063688",1.30769230769231
"133","11609 102307200073778",0
"134","11609 102307200074780",4.30769230769231
"135","11609 102307200077058",0.307692307692308
"136","11609 102307200077062",0.0769230769230769
"137","11609 102307200081310",1.46153846153846
"138","11609 102310800150080",8.53846153846154
"139","11609 102310800150260",0.461538461538462
"140","11873 102307200002006",1.15384615384615
"141","11873 102307200023954",1
"142","11873 102307200025558",0.230769230769231
"143","11873 102307200030166",0.615384615384615
"144","11873 102307200032370",2.38461538461538
"145","11873 102307200039258",0.153846153846154
"146","11873 102307200064440",0.0769230769230769
"147","11873 102307200065462",0
"148","11873 102307200066168",0
"149","11873 102307200067986",0.153846153846154
"150","11873 102307200068204",0.384615384615385
"151","11873 102307200071288",0.384615384615385
"152","11873 102307200074748",0.384615384615385
"153","11873 102307200079622",0.615384615384615
"154","11873 102307200144884",0.384615384615385
"155","11873 102310800072818",1.07692307692308
"156","11873 102421077712960",0
"157","12020 102307200024706",0
"158","12020 102307200025712",0.769230769230769
"159","12020 102307200030136",0.0769230769230769
"160","12020 102307200030648",0.769230769230769
"161","12020 102307200039258",0.692307692307692
"162","12020 102307200065038",0.0769230769230769
"163","12020 102307200074288",0
"164","12020 102307200074806",3.23076923076923
"165","12020 102307200077062",0.0769230769230769
"166","12020 102307200082318",0.615384615384615
"167","12105 102307200025556",0.230769230769231
"168","12105 102307200025558",0.0769230769230769
"169","12105 102307200058776",1.92307692307692
"170","12105 102307200065792",0.692307692307692
"171","12105 102307200071282",0
